name,call_sites,max_args,distribution
ehsys_FDD168CA,1297,8,8 args x1288; 6 args x4; 3 args x3
ehsys_8EA6B1E7,1092,8,5 args x658; 8 args x416; 6 args x15
ehsys_memset,1064,8,3 args x1031; 4 args x19; 5 args x7
ehsys_2AE3C0AD,924,5,1 args x719; 2 args x94; 3 args x31
ehsys_CABEA834,632,8,2 args x469; 3 args x92; 8 args x23
ehsys_E58C0FDC,622,4,2 args x607; 3 args x10; 4 args x5
ehsys_9EA6989A,570,8,2 args x329; 3 args x195; 8 args x21
ehsys_942B03D0,498,8,2 args x419; 8 args x30; 3 args x18
ehsys_E5738C32,490,5,1 args x384; 2 args x27; 3 args x16
ehsys_E6E4401F,473,3,3 args x473
ehsys_F462EE6E,458,8,2 args x308; 5 args x54; 3 args x45
ehsys_1EC5342B,456,8,1 args x302; 2 args x84; 3 args x27
ehsys_DFCA450B,447,7,2 args x423; 3 args x12; 5 args x5
ehsys_60B55A50,433,7,2 args x221; 1 args x198; 3 args x11
ehsys_4F22C9AA,397,7,1 args x184; 2 args x161; 3 args x30
ehsys_F2BD0694,355,3,1 args x235; 2 args x48; 3 args x16
ehsys_4175E3DB,339,8,2 args x257; 6 args x39; 3 args x13
ehsys_F8CDBCAB,338,8,5 args x69; 6 args x65; 1 args x46
ehsys_B8AD96EA,336,8,1 args x163; 2 args x50; 8 args x44
ehsys_A4AFF8E6,335,7,3 args x113; 4 args x69; 1 args x45
ehsys_get_language,334,8,1 args x108; 2 args x35; 3 args x23
ehsys_C6C15111,292,6,3 args x282; 5 args x7; 6 args x3
ehsys_get_button_code,288,3,1 args x202; 2 args x12; 3 args x2
ehsys_D4DE5DD8,267,6,1 args x21; 2 args x11; 3 args x2
ehsys_20E340D9,266,5,2 args x156; 1 args x95; 3 args x9
ehsys_memcpy,257,4,3 args x246; 4 args x11
ehsys_9EFDC9B9,253,3,1 args x39; 3 args x5; 2 args x2
ehsys_CF199BAE,253,4,1 args x196; 2 args x16; 3 args x10
ehsys_A72D71BF,240,5,1 args x189; 2 args x4; 3 args x1
ehsys_F5E3080C,237,4,1 args x16; 3 args x3; 4 args x2
ehsys_B2B9FEFA,228,8,1 args x52; 3 args x48; 2 args x20
ehsys_41AABF28,210,4,2 args x187; 3 args x21; 4 args x2
ehsys_98E07D26,210,3,1 args x154; 2 args x6; 3 args x2
ehsys_247C7989,203,7,6 args x199; 7 args x4
ehsys_48B2E54A,203,2,2 args x203
ehsys_66F8E113,202,8,2 args x96; 1 args x90; 4 args x1
ehsys_39ADDA9F,188,1,1 args x139
ehsys_23E69878,186,8,2 args x145; 7 args x19; 6 args x9
ehsys_E62CCE79,182,4,1 args x133; 2 args x8; 3 args x3
ehsys_A19EF6B5,180,8,2 args x171; 3 args x5; 8 args x4
ehsys_747753B8,178,6,1 args x134; 2 args x12; 3 args x9
