nid,vram,func,words,call_sites,argc,stack_args,returns,leaf,sdk_calls,reaches,sdk_reexport
0xFDD168CA,0x025CE4,func_00025CE4,126,1297,8,0,1,0,,,
0x8EA6B1E7,0x025EDC,func_00025EDC,10,1092,5,0,1,1,,,
0x10F3BB61,0x009F0C,func_00009F0C,54,1064,3,0,1,0,,,
0x2AE3C0AD,0x03C29C,func_0003C29C,3,924,1,0,0,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0xCABEA834,0x026BC8,func_00026BC8,24,632,2,0,1,0,,,
0xE58C0FDC,0x030998,func_00030998,122,622,2,0,1,0,,,
0x9EA6989A,0x020630,func_00020630,2,570,2,0,0,0,,,
0x942B03D0,0x040C70,func_00040C70,5,498,2,0,0,0,,,
0xE5738C32,0x05D4B0,func_0005D4B0,19,490,1,0,1,0,,,
0xE6E4401F,0x02701C,func_0002701C,20,473,3,0,1,0,,,
0xF462EE6E,0x02543C,func_0002543C,122,458,2,0,1,0,,,
0x1EC5342B,0x02530C,func_0002530C,11,456,1,0,1,1,,,
0xDFCA450B,0x0251F4,func_000251F4,70,447,2,0,1,1,,,
0x60B55A50,0x040CA0,func_00040CA0,14,433,1,0,1,0,,,
0x4F22C9AA,0x021EB4,func_00021EB4,34,397,1,0,0,1,,,
0xF2BD0694,0x021F3C,func_00021F3C,26,355,0,0,0,1,,,
0x4175E3DB,0x025624,func_00025624,112,339,2,0,1,0,,,
0xF8CDBCAB,0x021FA4,func_00021FA4,28,338,0,0,0,1,,,
0xB8AD96EA,0x0432FC,func_000432FC,12,336,1,0,1,0,,,
0xA4AFF8E6,0x04332C,func_0004332C,6,335,0,0,1,0,,,
0x31454993,0x054928,func_00054928,9,333,0,0,1,0,,,
0xC6C15111,0x01E994,func_0001E994,35,292,3,0,1,0,,,
0x8171F765,0x0305D4,func_000305D4,17,287,1,0,1,1,,,
0xD4DE5DD8,0x057280,func_00057280,10,267,0,0,1,0,,,
0x20E340D9,0x022CEC,func_00022CEC,37,266,1,0,1,0,,,
0xAB7592FF,0x009B2C,func_00009B2C,73,257,3,0,1,1,,,
0x9EFDC9B9,0x021994,func_00021994,10,253,0,0,0,1,,,
0xCF199BAE,0x02CE00,func_0002CE00,2,253,0,0,0,0,,,
0xA72D71BF,0x02CE08,func_0002CE08,2,240,0,0,0,0,,,
0xF5E3080C,0x024BF8,func_00024BF8,3,237,0,0,1,1,,,
0xB2B9FEFA,0x01F534,func_0001F534,3,228,0,0,1,1,,,
0x41AABF28,0x022B90,func_00022B90,2,210,2,0,0,0,,,
0x98E07D26,0x02CDF0,func_0002CDF0,2,210,0,0,0,0,,,
0x247C7989,0x0220F4,func_000220F4,28,203,6,0,0,0,,,
0x48B2E54A,0x05407C,func_0005407C,21,203,2,0,0,0,,,
0x66F8E113,0x040CE4,func_00040CE4,28,202,1,0,1,0,,sceLibFont,
0x39ADDA9F,0x02DFD0,func_0002DFD0,393,188,1,0,1,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0x23E69878,0x026718,func_00026718,30,186,2,0,1,0,,,
0xE62CCE79,0x02CDF8,func_0002CDF8,2,182,0,0,0,0,,,
0xA19EF6B5,0x026B68,func_00026B68,24,180,2,0,1,0,,,
0x747753B8,0x02CE18,func_0002CE18,2,178,0,0,0,0,,,
0xF1BC43DB,0x047268,func_00047268,9,171,0,0,0,0,,ThreadManForUser,
0x0089B865,0x021BB0,func_00021BB0,14,168,1,0,0,1,,,
0x13A4081A,0x02F52C,func_0002F52C,43,166,1,0,1,0,,Kernel_Library;sceGe_user,
0xFAA0B5CD,0x0540D0,func_000540D0,11,164,0,0,1,0,,,
0xA38AA0E9,0x013A20,func_00013A20,81,152,0,0,1,0,,,
0xCC7A2A21,0x05D0DC,func_0005D0DC,62,150,1,0,1,0,,,
0xE1139F1A,0x02E6F8,func_0002E6F8,13,146,1,0,0,0,,,
0x025FE238,0x055E54,func_00055E54,8,145,2,0,1,1,,,
0x88B6C7F0,0x02FEB0,func_0002FEB0,3,137,0,0,1,1,,,
0x0D801700,0x013B64,func_00013B64,81,135,0,0,1,0,,,
0x09794DF0,0x02706C,func_0002706C,34,131,3,0,1,0,,,
0x5CBB9E43,0x0278A0,func_000278A0,32,130,6,0,1,0,,,
0xEED9C836,0x05D4FC,func_0005D4FC,9,123,0,0,1,0,,,
0x295BF133,0x014B7C,func_00014B7C,5,117,1,0,1,1,,,
0x831C5769,0x01B028,func_0001B028,49,116,3,0,1,0,,,
0x133DA48C,0x05D520,func_0005D520,9,114,0,0,1,0,,,
0x7187E0F0,0x01B3A0,func_0001B3A0,165,111,3,0,1,0,,,
0xB89D38DC,0x0416B0,func_000416B0,159,108,4,0,1,0,,sceLibFont,
0xC9D9E989,0x043184,func_00043184,17,105,1,0,0,1,,,
0xD853F15C,0x0431DC,func_000431DC,17,105,1,0,0,1,,,
0x2012884C,0x02D210,func_0002D210,195,104,1,0,1,0,,ThreadManForUser;sceAtrac3plus;sceLibFont;sceSasCore,
0xC792FA38,0x04328C,func_0004328C,17,102,1,0,0,1,,,
0x7661E728,0x00C950,func_0000C950,34,97,8,0,1,0,,Kernel_Library;SysMemUserForUser,
0xB0F320E6,0x02E6B4,func_0002E6B4,17,96,1,0,0,0,,,
0xEF9B5D06,0x02D51C,func_0002D51C,685,94,2,0,1,0,,sceLibFont,
0x85F89FE8,0x01E434,func_0001E434,30,93,1,0,1,0,,,
0x67312719,0x05D73C,func_0005D73C,9,93,0,0,1,0,,,
0x89812D8A,0x01E4AC,func_0001E4AC,26,91,1,0,1,0,,,
0x6F2C8118,0x05D2FC,func_0005D2FC,67,91,2,0,1,1,,,
0x2EB1BD8B,0x021C24,func_00021C24,16,89,1,0,0,1,,,
0xD470D0B2,0x03F988,func_0003F988,45,88,3,0,0,0,,,
0x1738DF69,0x05D668,func_0005D668,16,85,0,0,1,0,,,
0x1460C6FD,0x02F4D8,func_0002F4D8,3,82,0,0,1,1,,,
0x5998BFD7,0x03FA3C,func_0003FA3C,45,80,3,0,0,0,,,
0x450CD6C5,0x03FAF0,func_0003FAF0,6,77,0,0,1,1,,,
0xBC8E65D7,0x042604,func_00042604,353,77,5,0,1,0,sceGe_user_E47E40E4,Kernel_Library;sceGe_user;sceLibFont,
0x4BF558F1,0x030530,func_00030530,6,75,1,0,0,1,,,
0x1B00FB95,0x00B3EC,func_0000B3EC,598,73,4,0,1,0,,,
0x760919BF,0x02CE28,func_0002CE28,2,68,0,0,0,0,,,
0x20560342,0x0275CC,func_000275CC,51,66,5,0,1,0,,,
0xD697947E,0x01610C,func_0001610C,16,64,3,0,1,1,,,
0xCE8B1945,0x01B12C,func_0001B12C,2,64,2,0,0,0,,,
0x4C4AB33C,0x05D644,func_0005D644,9,64,0,0,1,0,,,
0x13A603EB,0x015FE8,func_00015FE8,8,63,1,0,1,1,,,
0x82E739A4,0x055DF4,func_00055DF4,9,60,1,0,1,1,,,
0xC87BAB32,0x04050C,func_0004050C,44,59,8,0,1,0,,Kernel_Library;SysMemUserForUser;sceLibFont,
0xEC6F1CF2,0x00CF48,func_0000CF48,34,58,2,0,1,1,,,
0x399AC68A,0x027B24,func_00027B24,4,57,2,0,1,1,,,
0x42110BF9,0x027B34,func_00027B34,4,57,2,0,1,1,,,
0xED7A3401,0x055EB8,func_00055EB8,17,57,2,0,1,0,,,
0xF1CE796C,0x0150EC,func_000150EC,6,56,1,0,1,1,,,
0xE1359B02,0x050C14,func_00050C14,18,56,1,0,1,0,,,
0x885E0882,0x030254,func_00030254,3,55,0,0,1,1,,,
0x33ED567B,0x0430D4,func_000430D4,17,55,1,0,0,1,,,
0x5739D1F8,0x022048,func_00022048,5,54,1,0,0,1,,,
0x7B1755CF,0x0272E8,func_000272E8,27,54,0,0,1,0,,,
0x6367AE39,0x03C330,func_0003C330,3,54,1,0,0,0,,ThreadManForUser;sceAtrac3plus;sceSasCore,
0x8288EEBC,0x018E30,func_00018E30,6,53,6,0,1,0,,ThreadManForUser,
0x1D98951B,0x027B14,func_00027B14,4,53,2,0,1,1,,,
0xE50B9594,0x0565C0,func_000565C0,636,53,8,0,1,0,,,
0x21F9E97E,0x02CE4C,func_0002CE4C,6,52,2,0,1,0,,,
0xC62F9EAC,0x027B44,func_00027B44,115,51,2,0,1,0,,,
0x0D00F3B7,0x02ACB0,func_0002ACB0,86,51,1,0,1,0,,,
0xAD0E1E03,0x02CDD0,func_0002CDD0,2,50,0,0,0,0,,,
0x878EE1D3,0x03FB38,func_0003FB38,146,49,1,0,1,0,,,
0x2FD4863E,0x040D54,func_00040D54,28,49,0,0,1,1,,,
0x476FD94A,0x00CD24,func_0000CD24,41,48,1,0,1,0,,,
0xF59F3BD3,0x04B79C,func_0004B79C,9,48,0,0,0,0,,,
0xF293756B,0x0160BC,func_000160BC,10,47,3,0,1,1,,,
0x249F5AD0,0x02CE30,func_0002CE30,2,47,0,0,0,0,,,
0xEF9740B0,0x022014,func_00022014,13,45,1,0,0,1,,,
0xED818642,0x054304,func_00054304,17,45,1,0,1,0,,,
0xD2A768F4,0x019B40,func_00019B40,96,43,2,0,1,0,ThreadManForUser_B011B11F;ThreadManForUser_6B30100F;sceIoGetstat,IoFileMgrForUser;Kernel_Library;SysMemUserForUser;ThreadManForUser;sceUmdUser,
0x558B2DCB,0x01B0EC,func_0001B0EC,16,42,1,0,1,0,,,
0x42C464D5,0x021BE8,func_00021BE8,15,42,1,0,0,1,,,
