name,call_sites,max_args,distribution
func_00005E20,28,8,1 args x20; 2 args x3; 8 args x2
func_00005F0C,8,3,2 args x7; 3 args x1
func_00006E48,6,6,3 args x3; 6 args x1; 1 args x1
func_00007834,6,6,6 args x6
func_00001F28,5,3,3 args x5
func_00005D70,4,1,1 args x1
func_00001B38,4,4,4 args x4
func_0000792C,4,6,6 args x4
func_00007C1C,4,8,8 args x4
func_00003EA8,3,1,1 args x2
func_00008D88,3,2,2 args x3
func_00000580,3,2,2 args x1
func_00002270,3,5,5 args x3
func_00001F48,3,3,3 args x3
func_000059EC,3,3,3 args x2
func_00006FAC,3,1,1 args x3
func_00006F20,3,4,4 args x3
func_00006CC4,3,1,1 args x2
func_00007C98,3,8,8 args x3
func_00008D18,2,3,3 args x2
func_000029A4,2,8,8 args x2
func_00001484,2,4,4 args x2
func_00002328,2,6,6 args x2
func_00000000,2,7,7 args x2
func_00002CA8,2,8,8 args x1; 7 args x1
func_00002720,2,8,8 args x2
func_00005A94,2,8,8 args x1; 1 args x1
func_00005A2C,2,2,2 args x2
func_00006E60,2,4,4 args x2
func_00006FE4,2,2,2 args x2
func_00007520,2,3,3 args x2
func_00007EA8,2,7,7 args x2
func_00000028,1,8,8 args x1
func_00005B18,1,2,2 args x1
func_000002B0,1,1,1 args x1
func_00008598,1,2,2 args x1
func_000086B8,1,5,5 args x1
func_000044A4,1,1,1 args x1
func_00006364,1,4,4 args x1
func_00006AAC,1,1,1 args x1
func_00006D7C,1,1,1 args x1
func_00008830,1,3,3 args x1
func_00002CC8,1,1,1 args x1
func_00000F78,1,5,5 args x1
func_00001494,1,7,7 args x1
func_00002E10,1,2,2 args x1
func_00002ED4,1,2,2 args x1
func_00001FE4,1,5,5 args x1
func_00008CAC,1,3,3 args x1
func_0000162C,1,8,8 args x1
func_00001B4C,1,4,4 args x1
func_00001CB4,1,4,4 args x1
func_000024C4,1,6,6 args x1
func_00008D78,1,3,3 args x1
func_00003BE0,1,5,5 args x1
func_00003CD8,1,5,5 args x1
func_00003714,1,2,2 args x1
func_0000331C,1,3,3 args x1
func_0000390C,1,2,2 args x1
func_00001E8C,1,3,3 args x1
func_00008D80,1,2,2 args x1
func_000085D4,1,4,4 args x1
func_00008A64,1,5,5 args x1
func_00005888,1,1,1 args x1
func_000056F8,1,1,1 args x1
func_00005AC4,1,2,2 args x1
func_00005950,1,2,2 args x1
func_000062EC,1,4,4 args x1
func_000063F8,1,3,3 args x1
func_00006DE4,1,1,1 args x1
func_00007224,1,1,1 args x1
func_00007370,1,1,1 args x1
func_000077C4,1,1,1 args x1
func_0000758C,1,1,1 args x1
func_00007D40,1,1,1 args x1
func_000076E4,1,1,1 args x1
func_000080D4,1,4,4 args x1
func_00008308,1,1,1 args x1
func_00007D2C,1,4,4 args x1
func_00007FB8,1,4,4 args x1
func_0000861C,1,2,2 args x1
func_00008684,1,3,3 args x1
func_000087B8,1,5,5 args x1
func_00008D70,1,4,4 args x1
