name,call_sites,max_args,distribution
func_00000520,15,5,1 args x11; 2 args x2; 5 args x1
func_000003E4,6,3,3 args x1; 1 args x1
func_00001590,6,1,1 args x5
func_00003570,5,5,1 args x3; 4 args x1; 5 args x1
func_00001094,3,3,3 args x2; 2 args x1
func_000024F4,2,2,2 args x2
func_00002678,2,5,5 args x2
func_00002E1C,2,2,2 args x2
func_00003358,2,2,2 args x1
func_00002DC8,2,5,5 args x2
func_00003278,2,2,2 args x1
func_00000010,1,3,3 args x1
func_00000790,1,4,4 args x1
func_00001854,1,2,2 args x1
func_000025D4,1,6,6 args x1
func_00002DF0,1,1,1 args x1
func_00001EE8,1,1,1 args x1
func_00002DFC,1,1,1 args x1
func_00002DE4,1,1,1 args x1
func_00000330,1,1,1 args x1
func_00001840,1,4,4 args x1
func_00002154,1,2,2 args x1
func_00002370,1,1,1 args x1
func_00002480,1,1,1 args x1
func_000027E0,1,2,2 args x1
func_00002B14,1,1,1 args x1
func_00002458,1,2,2 args x1
func_00002FB0,1,3,3 args x1
func_000027C8,1,2,2 args x1
func_00002E08,1,2,2 args x1
func_00003444,1,8,8 args x1
