name,call_sites,max_args,distribution
func_000168C0,155,8,1 args x119; 3 args x9; 5 args x8
func_00007F34,40,6,4 args x5; 1 args x2; 6 args x2
func_00007230,25,3,1 args x20; 2 args x2; 3 args x2
func_00014D64,22,3,3 args x22
func_000033B4,17,6,1 args x13; 6 args x2; 3 args x2
func_00007454,16,3,3 args x10; 1 args x3; 2 args x2
func_00019DA8,15,3,3 args x15
func_0001A044,14,4,3 args x13; 4 args x1
func_00015BE4,13,3,1 args x6; 3 args x4; 2 args x2
func_00020124,12,8,6 args x11; 8 args x1
func_000040C4,11,6,1 args x9; 2 args x1; 6 args x1
func_00007F54,11,5,5 args x11
func_000006EC,10,6,6 args x10
func_000177EC,10,3,3 args x10
func_0000729C,10,3,1 args x6; 2 args x2; 3 args x2
func_00008220,10,5,5 args x10
func_00017D28,10,3,3 args x10
func_00009758,9,3,1 args x8; 3 args x1
func_00007808,9,7,7 args x9
func_0001A5DC,8,6,6 args x8
func_0001B1E0,7,4,4 args x7
func_00013D3C,7,5,5 args x7
func_000199A0,6,2,2 args x6
func_00002848,6,1,1 args x6
func_0001A9FC,6,8,8 args x6
func_00015F38,6,2,2 args x4; 1 args x1
func_0001403C,6,2,2 args x6
func_00014E30,6,3,3 args x6
func_00019CC8,6,7,7 args x6
func_00007C60,5,1,1 args x5
func_000050EC,5,4,4 args x5
func_00019AB0,5,1,1 args x4
func_0000A4E4,5,2,2 args x5
func_00013C28,5,3,3 args x4
func_000218A4,5,5,1 args x3; 4 args x1; 5 args x1
func_000155C0,4,3,1 args x2; 3 args x1
func_00007324,4,1,1 args x1
func_00004C14,4,1,1 args x3
func_00006D28,4,1,1 args x4
func_00009674,4,4,4 args x4
func_0000A394,4,3,3 args x4
func_000201EC,4,4,4 args x4
func_0000EDF4,4,7,4 args x3; 7 args x1
func_00007B2C,4,2,2 args x4
func_00014D18,4,2,2 args x2; 1 args x1
func_00019B28,4,7,7 args x4
func_00019DC8,4,7,7 args x4
func_0001DA80,4,4,4 args x4
func_0001BB00,4,8,8 args x4
func_0001FFE0,4,4,4 args x4
func_0001A3E8,4,6,6 args x4
func_00015218,3,3,3 args x3
func_00003B6C,3,1,1 args x3
func_000079BC,3,1,1 args x3
func_00017D20,3,3,3 args x3
func_0001CB4C,3,5,5 args x3
func_0001DC38,3,4,4 args x3
func_00004160,3,3,3 args x3
func_0001E548,3,5,5 args x3
func_000043CC,3,3,3 args x3
func_0001E610,3,5,5 args x3
func_0001AC04,3,8,8 args x3
func_0001FF74,3,4,4 args x3
func_0001FF08,3,4,4 args x3
func_0001A574,3,6,1 args x2; 6 args x1
func_00000920,2,5,5 args x2
func_00014C04,2,3,3 args x2
func_00021120,2,2,2 args x2
func_00020AF0,2,2,2 args x1
func_00002EB8,2,3,3 args x2
func_00007C98,2,2,2 args x1
func_00003FEC,2,4,4 args x2
func_000064D4,2,5,5 args x2
func_0001B75C,2,5,5 args x2
func_00004668,2,7,7 args x1
func_0000A4AC,2,3,3 args x2
func_0000B0F0,2,7,7 args x1
func_0000CA04,2,1,1 args x1
func_0000EF00,2,1,1 args x2
func_0000EFDC,2,1,1 args x2
func_000140C4,2,3,1 args x1; 3 args x1
func_00013928,2,2,2 args x1
func_0001CC48,2,3,3 args x1
func_0001CB70,2,2,2 args x2
func_00015444,2,3,3 args x2
