name,call_sites,max_args,distribution
func_00033434,223,5,5 args x220; 4 args x3
func_00031F14,149,8,7 args x124; 8 args x25
func_00031C14,140,8,8 args x139; 7 args x1
func_00031EC8,136,8,8 args x95; 3 args x33; 5 args x7
func_000320B0,104,8,7 args x89; 2 args x11; 3 args x3
func_000048E0,91,3,2 args x83; 3 args x8
func_00032EB4,88,5,2 args x60; 3 args x19; 5 args x6
func_00031974,77,1,1 args x70
func_0006DE5C,76,6,1 args x30; 3 args x9; 2 args x1
func_00051DD4,65,6,1 args x42; 2 args x9; 3 args x7
func_0003CF8C,64,8,4 args x3; 3 args x3; 2 args x2
func_0003176C,60,5,5 args x60
func_00050304,55,4,2 args x47; 3 args x4; 4 args x3
func_00032F3C,53,5,3 args x38; 2 args x12; 5 args x1
func_00032FDC,52,3,3 args x42; 2 args x9
func_0006DE84,52,5,5 args x1; 2 args x1
func_0001F198,43,6,2 args x8; 1 args x2; 4 args x1
func_000345E4,40,4,1 args x6; 3 args x6; 4 args x1
func_0005368C,38,5,1 args x26; 2 args x5; 5 args x2
func_00001E54,35,3,3 args x35
func_00009E9C,35,4,3 args x32; 2 args x1; 4 args x1
func_000048B8,34,3,2 args x32; 3 args x2
func_000536B8,34,8,1 args x25; 2 args x4; 3 args x4
func_00008184,32,3,2 args x30; 3 args x2
func_0003282C,32,3,1 args x8; 3 args x2; 2 args x1
func_0000F43C,31,3,2 args x25; 3 args x2
func_000066E4,29,4,4 args x29
func_0003A628,29,5,3 args x4; 1 args x2; 4 args x2
func_00009284,28,3,3 args x28
func_00033700,28,1,1 args x1
func_00032BD8,28,5,1 args x21; 4 args x1; 5 args x1
func_0006CD0C,28,6,4 args x17; 1 args x2; 3 args x2
func_00019440,27,3,3 args x17; 1 args x10
func_0005369C,26,2,1 args x18; 2 args x4
func_00055E34,26,4,4 args x13; 1 args x11; 2 args x1
func_000222D0,26,6,2 args x24; 6 args x1; 3 args x1
func_00032EE8,26,4,2 args x22; 3 args x2; 4 args x1
func_00033258,24,3,3 args x18; 2 args x6
func_0001F1F8,23,5,5 args x2; 2 args x1; 3 args x1
func_0006DE7C,22,2,1 args x16; 2 args x1
func_00051770,22,3,1 args x2; 3 args x1
func_000564C8,21,1,1 args x21
func_0003459C,21,4,3 args x3; 1 args x3; 2 args x1
func_000066D4,20,3,2 args x19; 3 args x1
func_000194EC,20,4,1 args x6; 2 args x3; 4 args x2
func_00055E28,20,4,1 args x2; 4 args x1
func_00053938,20,1,1 args x2
func_00009E5C,18,3,2 args x12; 1 args x3; 3 args x2
func_0006E1BC,18,3,3 args x18
func_00032870,18,3,3 args x1
func_00051D08,17,3,1 args x11; 3 args x6
func_0006E4A4,17,3,3 args x17
func_0005115C,17,3,1 args x4; 3 args x1
func_000054B4,15,4,1 args x9; 3 args x2; 4 args x1
func_0006DE9C,15,2,1 args x4; 2 args x1
func_00058FDC,15,2,1 args x6; 2 args x1
func_000322D0,15,3,3 args x13; 2 args x2
func_00066700,15,8,7 args x14; 8 args x1
func_00015224,14,1,1 args x13
func_0001BD4C,14,2,1 args x11; 2 args x2
func_000327C8,14,2,1 args x12; 2 args x2
func_00055F0C,14,3,1 args x3; 3 args x1; 2 args x1
func_000590DC,14,4,4 args x14
func_000592B4,14,4,1 args x13; 4 args x1
func_0000B234,13,2,1 args x10; 2 args x3
func_00051EE4,13,3,1 args x7; 3 args x2
func_0003255C,13,1,1 args x13
func_0006ABF0,13,3,3 args x13
func_000068A8,12,2,1 args x10; 2 args x2
func_00010FF0,12,4,4 args x12
func_00031A10,12,3,1 args x10; 3 args x2
func_000542B0,12,3,3 args x12
func_0006CCD4,12,1,1 args x12
func_00019500,11,2,1 args x8; 2 args x2
func_0001CE50,11,3,3 args x11
func_00031A08,11,1,1 args x4
func_0000B288,11,1,1 args x7
func_000336AC,11,3,3 args x1
func_0003DAEC,11,8,8 args x11
func_00005460,10,4,2 args x9; 4 args x1
func_000592CC,10,1,1 args x1
func_0003306C,10,3,3 args x7; 2 args x3
func_00033498,10,3,3 args x10
func_0006DA7C,10,2,1 args x9; 2 args x1
func_0006DB18,10,3,2 args x9; 3 args x1
func_0006DF74,9,3,1 args x6; 3 args x1
func_00051B8C,9,3,1 args x8; 3 args x1
func_0000EBC8,9,4,2 args x6; 4 args x2; 3 args x1
func_00009F18,9,3,3 args x9
func_0000F4F8,9,3,1 args x3; 3 args x2; 2 args x1
func_0006E12C,9,1,1 args x8
func_00008734,9,3,1 args x7; 3 args x1
func_00032784,9,3,1 args x5; 2 args x2; 3 args x1
func_000323A8,9,3,3 args x9
func_0003DAF8,9,1,1 args x9
func_0003D974,9,3,3 args x9
func_0003DB00,9,1,1 args x9
func_000650E8,9,4,4 args x9
func_0006CDE4,9,1,1 args x9
func_00004410,8,2,2 args x7
func_0006DFE0,8,1,1 args x3
func_00050FB8,8,4,1 args x2; 4 args x1
func_0000B6E4,8,2,2 args x8
func_00010E44,8,1,1 args x8
func_00051184,8,6,2 args x1; 6 args x1; 1 args x1
func_00021ACC,8,2,2 args x8
func_000539E4,8,5,5 args x8
func_0005A90C,8,2,2 args x8
func_0006E61C,8,2,2 args x8
func_00005FD8,8,1,1 args x8
func_000592C0,8,1,1 args x8
func_0006CC2C,8,3,3 args x8
func_00050D68,7,3,3 args x1
func_00003C18,7,1,1 args x3
func_0006DFBC,7,3,1 args x3; 3 args x1
func_0000EC64,7,4,4 args x7
func_0006E004,7,1,1 args x1
func_000088F4,7,4,4 args x7
func_000559B8,7,1,1 args x7
func_00056E78,7,1,1 args x6
func_0002484C,7,6,6 args x7
func_00032928,7,1,1 args x7
func_0003271C,7,2,1 args x6; 2 args x1
func_000327F8,7,1,1 args x7
func_0005FFA4,7,6,6 args x7
func_000539B8,7,1,1 args x1
func_00065004,7,3,2 args x6; 3 args x1
func_00005F5C,6,3,1 args x3; 3 args x1
func_000513F0,6,3,1 args x2; 3 args x2; 2 args x2
func_0006E4EC,6,3,3 args x6
func_00008DF4,6,2,2 args x6
func_0000EC0C,6,2,2 args x2; 1 args x1
func_000559A8,6,2,1 args x2; 2 args x1
func_00051FFC,6,3,2 args x3; 3 args x1
func_0000B188,6,1,1 args x1
func_00050B68,6,1,1 args x1
func_00050C70,6,1,1 args x1
func_00058A68,6,4,4 args x6
func_00031DCC,6,8,8 args x6
func_00002524,6,2,2 args x6
func_000333A0,6,2,2 args x6
func_00052CEC,6,4,4 args x6
func_000536AC,6,3,2 args x2; 3 args x1
func_00059D44,6,8,5 args x4; 8 args x2
func_0005F330,6,3,3 args x6
func_00066720,6,8,8 args x5; 7 args x1
func_00001DB8,5,3,3 args x4
func_00004EF0,5,3,1 args x3; 3 args x1
func_00005760,5,1,1 args x5
func_0000568C,5,1,1 args x5
func_0006E0B8,5,2,2 args x5
func_000074D4,5,2,2 args x5
func_0006E198,5,2,1 args x3; 2 args x1
func_0000EBA0,5,2,2 args x5
func_0006E04C,5,3,2 args x3; 3 args x2
func_0006E094,5,3,2 args x2; 3 args x2; 1 args x1
func_000144A0,5,2,2 args x5
func_00051150,5,2,1 args x3; 2 args x1
func_00019FD4,5,6,6 args x5
func_0001CD08,5,6,6 args x1
func_00032454,5,6,6 args x2; 5 args x2
func_000319D4,5,2,2 args x5
func_00051E5C,5,1,1 args x5
func_00031718,5,3,3 args x2
func_000331B0,5,3,3 args x1; 1 args x1
func_000333E0,5,2,2 args x5
