name,call_sites,max_args,distribution
func_00078AAC,837,6,3 args x754; 2 args x45; 4 args x21
func_00089E9C,647,8,3 args x635; 4 args x5; 5 args x3
func_00186230,506,8,3 args x486; 4 args x7; 5 args x3
func_0005BA60,464,6,5 args x461; 6 args x2; 4 args x1
func_000135F0,448,5,4 args x430; 3 args x15; 5 args x2
func_000ACAC8,444,4,4 args x431
func_00083084,425,7,2 args x352; 3 args x17; 1 args x7
func_00187B88,417,8,2 args x330; 3 args x30; 4 args x6
func_0003FBB4,411,7,1 args x38; 7 args x26; 3 args x12
func_002C62A4,388,6,6 args x381; 5 args x6; 4 args x1
func_0008BDA0,385,5,1 args x280; 2 args x20; 3 args x14
func_002669E0,380,8,5 args x373; 4 args x5; 8 args x2
func_0003CC8C,376,4,2 args x346; 3 args x8; 1 args x1
func_000827C4,351,5,2 args x304; 3 args x17; 1 args x5
func_0008CFC4,351,5,1 args x233; 2 args x18; 3 args x12
func_0008A0D0,333,6,1 args x249; 2 args x12; 3 args x6
func_0017CA90,332,8,2 args x272; 3 args x8; 7 args x4
func_002EED24,327,5,3 args x322; 2 args x2; 4 args x2
func_000826E8,304,5,2 args x271; 3 args x22; 4 args x5
func_00274F34,290,6,1 args x191; 2 args x11; 3 args x9
func_0009F6F8,288,6,2 args x225; 3 args x33; 4 args x6
func_00151E60,282,3,2 args x237; 3 args x39
func_000820D8,279,5,3 args x268; 4 args x7; 5 args x3
func_000748A8,268,8,1 args x64; 2 args x35; 3 args x28
func_0007F9B0,265,8,1 args x201; 2 args x22; 3 args x17
func_0003FBD4,261,7,1 args x184; 2 args x5; 3 args x2
func_002F6B14,258,7,3 args x201; 2 args x48; 4 args x4
func_00074230,257,6,4 args x241; 3 args x7; 5 args x5
func_001F2BC4,246,7,2 args x233; 1 args x6; 3 args x3
func_0029BD54,241,3,3 args x238; 1 args x1; 2 args x1
func_00040550,239,5,4 args x218; 5 args x9; 3 args x5
func_00151FB8,233,5,3 args x229; 4 args x2; 5 args x1
func_0007475C,232,7,1 args x24; 2 args x14; 4 args x5
func_00094318,231,8,2 args x200; 1 args x16; 3 args x8
func_000A094C,220,4,3 args x211; 2 args x4; 4 args x1
func_00171004,218,3,3 args x216; 2 args x2
func_001A9020,211,6,5 args x205; 4 args x5; 6 args x1
func_0009F658,203,6,2 args x159; 3 args x28; 4 args x8
func_001A3AC0,201,7,2 args x187; 1 args x7; 3 args x5
func_000A49E8,200,6,1 args x59; 4 args x5; 3 args x4
func_0017B570,197,4,3 args x191; 4 args x4; 1 args x1
func_001A4A54,187,8,1 args x37; 2 args x24; 3 args x19
func_001DA950,185,8,8 args x183; 7 args x2
func_001621C4,184,6,6 args x184
func_0018B338,178,8,8 args x178
func_00078BE8,172,7,4 args x161; 3 args x10; 7 args x1
func_002CEAB4,171,7,1 args x128; 7 args x5; 4 args x4
func_001A4698,169,5,1 args x122; 2 args x13; 3 args x9
func_00080D5C,165,5,1 args x130; 2 args x11; 3 args x6
func_002CFB8C,164,4,3 args x115; 2 args x47; 1 args x1
func_000A4934,162,6,1 args x39; 2 args x3; 5 args x3
func_0008BE60,159,5,2 args x146; 3 args x10; 4 args x2
func_0017B9C4,159,3,1 args x76; 2 args x11; 3 args x2
func_0003FA14,155,4,4 args x146; 3 args x6; 2 args x2
func_00089C68,154,6,3 args x148; 4 args x3; 6 args x1
func_00040510,151,6,3 args x64; 1 args x42; 4 args x23
func_0001D950,150,1,1 args x78
func_0003FBF8,148,8,1 args x9; 2 args x8; 4 args x5
func_00286CC8,148,3,2 args x133; 1 args x12; 3 args x3
func_00041974,146,2,1 args x137; 2 args x7
func_000A126C,146,5,3 args x142; 5 args x1; 2 args x1
func_002812BC,142,7,3 args x139; 6 args x2; 7 args x1
func_000A25FC,131,3,1 args x69; 3 args x2; 2 args x2
func_00074A28,130,7,4 args x119; 5 args x6; 7 args x3
func_000809F8,129,5,1 args x106; 2 args x12; 5 args x1
func_0001F268,129,8,1 args x109; 3 args x5; 2 args x4
func_001FB4FC,129,3,2 args x127; 3 args x2
func_0005BCC4,128,6,4 args x121; 5 args x4; 3 args x2
func_0008B544,126,4,2 args x115; 3 args x10; 4 args x1
func_0017CA50,126,4,2 args x102; 3 args x6; 4 args x1
func_00084408,125,6,2 args x118; 1 args x2; 3 args x2
func_00077E80,120,6,2 args x103; 3 args x5; 1 args x3
func_001A0D94,120,7,3 args x119; 7 args x1
func_00276E10,120,4,2 args x119; 4 args x1
func_0006F7D0,119,5,2 args x88; 3 args x16; 4 args x9
func_00183758,116,5,2 args x93; 3 args x8; 1 args x6
func_000776E0,115,5,3 args x111; 2 args x2; 5 args x1
func_000743C8,115,4,1 args x70; 4 args x4; 2 args x4
func_0029BAE0,115,7,7 args x115
func_0029F610,114,8,1 args x63; 2 args x6; 3 args x2
func_00078EC0,112,4,3 args x96; 2 args x9; 4 args x2
func_00078C8C,109,6,4 args x105; 3 args x2; 6 args x1
func_00151F14,106,4,2 args x87; 3 args x13; 4 args x1
func_000D6970,106,3,2 args x38; 1 args x3; 3 args x1
func_001A3BB0,106,7,2 args x94; 1 args x11; 7 args x1
func_0025EC60,106,7,1 args x32; 2 args x5; 7 args x1
func_0006FE00,105,7,3 args x97; 4 args x4; 5 args x1
func_002F6B08,101,8,2 args x89; 3 args x7; 4 args x1
func_00080F04,99,3,2 args x97; 3 args x1
