name,call_sites,max_args,distribution
func_000126E4,73,3,3 args x69; 1 args x4
func_0000C054,52,5,1 args x36; 2 args x3; 3 args x3
func_000068BC,33,3,2 args x31; 3 args x2
func_000008BC,24,2,1 args x22; 2 args x1
func_0000663C,24,5,1 args x14; 3 args x3; 5 args x1
func_0000B094,21,4,1 args x13; 3 args x2; 4 args x2
func_0000D2E8,18,3,3 args x18
func_00003D20,17,4,4 args x17
func_0000080C,17,2,1 args x2; 2 args x1
func_00006420,16,5,1 args x10; 2 args x4; 5 args x2
func_0000FF74,16,7,7 args x16
func_0000EBE4,15,8,7 args x13; 8 args x2
func_000068E4,13,2,2 args x12; 1 args x1
func_0000BB98,12,2,1 args x8; 2 args x2
func_0000EEA8,12,7,7 args x12
func_000139FC,12,4,4 args x12
func_000162F0,12,8,8 args x12
func_00008AAC,11,5,5 args x11
func_0000C890,11,4,4 args x11
func_00006270,10,3,3 args x5; 1 args x4
func_0000B1B4,10,1,1 args x8
func_0001369C,10,2,2 args x10
func_00015DC0,10,8,4 args x7; 8 args x3
func_00016C30,10,6,6 args x9; 4 args x1
func_00000114,9,4,4 args x9
func_00011C08,9,1,1 args x2
func_0000B144,9,1,1 args x2
func_00010B14,9,8,8 args x8; 7 args x1
func_00008CCC,8,2,2 args x8
func_0000B384,7,1,1 args x1
func_00015DF0,7,2,2 args x7
func_000065D0,6,1,1 args x3
func_00013A88,6,4,1 args x4; 4 args x1
func_00015E8C,6,8,8 args x6
func_00000948,5,1,1 args x5
func_000127DC,5,3,3 args x5
func_0001346C,5,2,2 args x4; 1 args x1
func_00010DD0,5,5,5 args x1; 3 args x1
func_0000BE70,5,4,2 args x4; 4 args x1
func_0001094C,5,8,8 args x5
func_00001DEC,4,2,2 args x4
func_000007A4,4,1,1 args x4
func_0000D710,4,5,5 args x4
func_00011004,4,4,1 args x3; 4 args x1
func_00013898,4,4,4 args x4
func_0001303C,4,8,8 args x4
func_00013AF8,4,3,2 args x3; 3 args x1
func_00015B14,4,6,6 args x4
func_0001477C,4,6,6 args x4
func_00016D80,4,1,1 args x3
func_00000000,3,1,1 args x3
func_00011D58,3,3,3 args x3
func_00012660,3,1,1 args x1
func_00007644,3,2,2 args x3
func_0000BB8C,3,2,2 args x3
func_0000E4B4,3,4,4 args x3
func_0000E928,3,3,3 args x3
func_00013B88,3,1,1 args x3
func_00011CA8,2,2,2 args x2
func_00003680,2,2,2 args x2
func_000127A8,2,1,1 args x1
func_00011B8C,2,1,1 args x2
func_00008B60,2,1,1 args x1
func_00009414,2,2,2 args x2
func_00008A2C,2,2,2 args x1
func_00006AC0,2,1,1 args x1
func_0000BEF0,2,4,4 args x1; 3 args x1
func_0000B9B4,2,1,1 args x2
func_0000B044,2,1,1 args x2
func_0000C0CC,2,2,2 args x2
func_0000C888,2,2,2 args x2
func_00010888,2,1,1 args x2
func_000109C8,2,7,7 args x1; 6 args x1
func_0000F550,2,6,6 args x2
func_0000F7A8,2,4,4 args x2
func_0000F530,2,8,8 args x1; 7 args x1
func_0000EFD4,2,8,8 args x2
func_000126D0,2,4,4 args x1
func_00013094,2,4,4 args x1; 2 args x1
func_00012A54,2,1,1 args x1
func_00016BC8,2,1,1 args x1
func_00014D08,2,6,6 args x2
func_000150EC,2,2,2 args x2
func_000150CC,2,3,3 args x2
func_00016E0C,2,5,5 args x2
func_00000B30,1,1,1 args x1
func_00000EC0,1,1,1 args x1
func_000012B4,1,1,1 args x1
func_000014A8,1,1,1 args x1
func_000016E4,1,1,1 args x1
func_00001AB8,1,1,1 args x1
func_00001DFC,1,1,1 args x1
func_0000002C,1,1,1 args x1
func_000032CC,1,1,1 args x1
func_0000344C,1,1,1 args x1
func_00002220,1,1,1 args x1
func_00002360,1,1,1 args x1
func_0000278C,1,1,1 args x1
func_000029E8,1,1,1 args x1
func_00002C4C,1,1,1 args x1
func_00002DF8,1,1,1 args x1
func_000030A0,1,1,1 args x1
func_00012784,1,1,1 args x1
func_0001273C,1,1,1 args x1
func_000043EC,1,3,3 args x1
func_00004478,1,1,1 args x1
func_00011128,1,2,2 args x1
func_00005014,1,2,2 args x1
func_00011E50,1,1,1 args x1
func_00004FCC,1,1,1 args x1
func_00004F98,1,2,2 args x1
func_00008E48,1,1,1 args x1
func_0000910C,1,1,1 args x1
func_0000920C,1,1,1 args x1
func_00006198,1,4,4 args x1
func_000130AC,1,1,1 args x1
func_00008F28,1,3,3 args x1
func_0000C150,1,1,1 args x1
func_0000C8A4,1,1,1 args x1
func_0000C348,1,1,1 args x1
func_0000C41C,1,1,1 args x1
