name,call_sites,max_args,distribution
func_00004548,20,7,1 args x15; 2 args x3; 7 args x1
func_000041FC,6,2,1 args x4; 2 args x1
func_000018A4,6,6,6 args x6
func_000029EC,5,8,8 args x5
func_0000259C,4,2,1 args x3; 2 args x1
func_00000B94,4,6,3 args x3; 6 args x1
func_00004140,4,2,2 args x4
func_00002758,3,7,7 args x3
func_00002660,3,8,8 args x2; 5 args x1
func_00003298,3,2,2 args x3
func_00000BB4,2,5,5 args x2
func_00001F14,2,7,7 args x2
func_00001070,2,4,4 args x2
func_000026DC,2,7,7 args x2
func_00000B80,2,4,4 args x2
func_00001624,2,5,5 args x2
func_000021E4,2,8,8 args x1; 7 args x1
func_00001C90,2,8,8 args x2
func_000042AC,2,1,1 args x1
func_00004354,1,2,2 args x1
func_000048D0,1,3,3 args x1
func_000008BC,1,3,3 args x1
func_00002204,1,2,2 args x1
func_00001060,1,4,4 args x1
func_00001640,1,8,8 args x1
func_00001978,1,4,4 args x1
func_00002340,1,8,8 args x1
func_0000471C,1,2,2 args x1
func_00004758,1,5,5 args x1
func_000042A0,1,2,2 args x1
func_000042F8,1,1,1 args x1
func_000046A4,1,4,4 args x1
func_00004858,1,5,5 args x1
