name,call_sites,max_args,distribution
func_000132C8,153,8,1 args x103; 2 args x13; 3 args x7
func_00002C5C,99,5,1 args x16; 3 args x8; 2 args x4
func_00002E10,90,8,8 args x89; 7 args x1
func_00013038,56,4,1 args x44; 4 args x1; 3 args x1
func_0001F638,42,6,6 args x42
func_00013028,40,4,1 args x23; 2 args x12; 3 args x2
func_00030D30,40,3,3 args x39
func_00002DF0,36,8,7 args x32; 8 args x3; 3 args x1
func_000130AC,36,3,3 args x36
func_00003244,36,3,3 args x34; 2 args x2
func_0000B07C,35,2,2 args x34
func_000031A8,30,2,2 args x30
func_00011990,30,2,1 args x1; 2 args x1
func_00013368,28,2,1 args x27; 2 args x1
func_00024864,27,8,6 args x14; 8 args x11; 5 args x2
func_00003B00,23,3,2 args x21; 3 args x2
func_00013048,19,4,3 args x1; 4 args x1; 2 args x1
func_0001DB88,16,4,4 args x16
func_00007DA0,15,2,2 args x14
func_0002D520,15,8,7 args x14; 8 args x1
func_00010E0C,14,3,3 args x3; 1 args x2; 2 args x2
func_0001B3B8,13,5,2 args x10; 5 args x2
func_00002CB0,12,3,1 args x7; 3 args x3; 2 args x2
func_00003B20,11,2,2 args x11
func_0001B374,10,1,1 args x2
func_0001B3AC,9,3,1 args x8; 3 args x1
func_00002E8C,9,8,8 args x9
func_0001DB9C,9,3,3 args x9
func_00029F60,9,4,4 args x9
func_000370B8,9,4,4 args x6; 3 args x2; 2 args x1
func_0000494C,8,1,1 args x5
func_0001B38C,8,3,3 args x4; 1 args x3
func_0001F744,8,4,4 args x8
func_0001F390,8,8,8 args x8
func_00036160,8,4,4 args x8
func_00036770,8,6,4 args x6; 6 args x2
func_0002771C,8,2,1 args x5; 2 args x3
func_0001B450,8,1,1 args x1
func_0000B0C4,7,2,2 args x7
func_00007B4C,7,2,2 args x7
func_00016B84,7,1,1 args x7
func_0001BC58,7,3,3 args x7
func_0002D280,7,1,1 args x5
func_00036DD4,7,6,1 args x4; 3 args x1; 6 args x1
func_000042A0,6,1,1 args x6
func_0000B020,6,3,3 args x6
func_00005F38,6,3,3 args x5; 2 args x1
func_00007828,6,3,3 args x6
func_00007A98,6,1,1 args x6
func_0002544C,6,6,3 args x4; 6 args x2
func_0000CE08,6,1,1 args x2
func_0000DA54,6,3,1 args x4; 3 args x2
func_0000CC70,6,2,2 args x2
func_00003400,6,2,1 args x5; 2 args x1
func_0000C938,6,2,2 args x6
func_000101AC,6,2,2 args x1
func_0000B2A0,6,1,1 args x6
func_0001B460,6,1,1 args x2
func_0002D540,6,8,8 args x5; 7 args x1
func_0000A234,5,2,2 args x2
func_00002CF0,5,2,2 args x5
func_00013180,5,2,1 args x3; 2 args x2
func_0000394C,5,2,1 args x3; 2 args x1
func_00007BA0,5,2,1 args x4; 2 args x1
func_0001411C,5,5,4 args x4; 5 args x1
func_0001BB1C,5,5,1 args x3; 4 args x1; 5 args x1
func_0002DCE4,5,8,7 args x4; 8 args x1
