name,call_sites,max_args,distribution
func_00003D84,18,3,2 args x10; 3 args x8
func_0000356C,5,2,2 args x5
func_000025D8,5,2,1 args x4; 2 args x1
func_00001158,4,1,1 args x4
func_000034E0,4,1,1 args x1
func_00003D94,3,2,2 args x3
func_00004028,3,3,3 args x3
func_00000F1C,3,3,3 args x3
func_00002074,2,5,5 args x2
func_00002678,2,1,1 args x1
func_000025EC,2,1,1 args x2
func_00001D00,2,1,1 args x1
func_000024E0,2,2,2 args x1
func_00003510,2,2,2 args x2
func_000044F4,2,1,1 args x1
func_000002B8,1,1,1 args x1
func_000013D0,1,1,1 args x1
func_00002124,1,1,1 args x1
func_00003BCC,1,1,1 args x1
func_0000175C,1,1,1 args x1
func_0000006C,1,5,5 args x1
func_00000000,1,4,4 args x1
func_000015D0,1,1,1 args x1
func_00004220,1,1,1 args x1
func_000015B8,1,1,1 args x1
func_00003D24,1,1,1 args x1
func_00000728,1,1,1 args x1
func_00003F94,1,1,1 args x1
func_00001930,1,1,1 args x1
func_00003F9C,1,2,2 args x1
func_00001820,1,2,2 args x1
func_00003FA4,1,1,1 args x1
func_000024E8,1,2,2 args x1
func_00001144,1,1,1 args x1
func_00001818,1,1,1 args x1
func_00002650,1,3,3 args x1
func_00001168,1,4,4 args x1
func_000041E8,1,2,2 args x1
func_00001328,1,5,5 args x1
func_000032F0,1,3,3 args x1
func_000037C0,1,4,4 args x1
func_00001358,1,3,3 args x1
func_000037D4,1,1,1 args x1
func_00003094,1,1,1 args x1
func_00003204,1,1,1 args x1
func_0000320C,1,1,1 args x1
func_00002F94,1,1,1 args x1
func_00003640,1,1,1 args x1
func_00003310,1,1,1 args x1
func_00002BA8,1,1,1 args x1
func_00002C80,1,1,1 args x1
func_00002AE8,1,1,1 args x1
func_00003D6C,1,1,1 args x1
func_00003D7C,1,3,3 args x1
func_00003F20,1,1,1 args x1
func_000044AC,1,1,1 args x1
func_0000444C,1,2,2 args x1
func_000043F4,1,1,1 args x1
