name,call_sites,max_args,distribution
func_000039D4,38,6,1 args x28; 3 args x3; 5 args x2
func_00001F84,5,1,1 args x1
func_0000405C,5,4,3 args x4; 4 args x1
func_00003CE0,4,7,7 args x4
func_000033A4,4,6,6 args x4
func_00003DC0,4,3,3 args x4
func_00002018,3,1,1 args x1
func_00002BC8,3,2,2 args x2; 1 args x1
func_0000490C,2,8,8 args x2
func_00004238,2,4,4 args x2
func_000044EC,2,6,6 args x2
func_00001E9C,2,4,4 args x2
func_00002FBC,2,1,1 args x2
func_00005790,2,8,8 args x1
func_0000519C,2,8,8 args x2
func_000057B0,2,2,2 args x2
func_00003540,1,2,2 args x1
func_00000644,1,2,2 args x1
func_00000700,1,2,2 args x1
func_000009F4,1,1,1 args x1
func_00000B50,1,1,1 args x1
func_00001CC8,1,1,1 args x1
func_00003DE0,1,7,7 args x1
func_000009E0,1,4,4 args x1
func_00005434,1,8,8 args x1
func_00000B30,1,3,3 args x1
func_00000E4C,1,4,4 args x1
func_00004B14,1,5,5 args x1
func_00001484,1,4,4 args x1
func_000041BC,1,4,4 args x1
func_000040F4,1,4,4 args x1
func_00004484,1,4,4 args x1
func_000042F8,1,6,6 args x1
func_00004DC4,1,5,5 args x1
func_00001824,1,1,1 args x1
func_00001EB0,1,1,1 args x1
func_00001DB4,1,3,3 args x1
func_00003BA8,1,2,2 args x1
func_000031E4,1,1,1 args x1
func_00002C08,1,1,1 args x1
func_00002DA0,1,1,1 args x1
func_000057FC,1,1,1 args x1
func_00003348,1,3,3 args x1
func_000034D8,1,3,3 args x1
func_00003C1C,1,3,3 args x1
func_000047EC,1,5,5 args x1
