name,call_sites,max_args,distribution
func_00001358,24,4,1 args x18; 2 args x3; 4 args x1
func_0000354C,13,2,2 args x12
func_000033C0,10,4,2 args x8; 3 args x1; 4 args x1
func_00000A58,7,7,7 args x7
func_00000D6C,4,3,3 args x4
func_00001994,4,2,1 args x1; 2 args x1
func_00003610,4,2,2 args x4
func_00000C5C,3,1,1 args x3
func_00000D8C,2,6,6 args x2
func_000012A8,2,3,3 args x1
func_00003674,2,1,1 args x2
func_00000150,1,2,2 args x1
func_00000A6C,1,1,1 args x1
func_000002D0,1,1,1 args x1
func_00000B08,1,1,1 args x1
func_00000B8C,1,1,1 args x1
func_00000A3C,1,5,5 args x1
func_00000A34,1,2,2 args x1
func_00000A24,1,4,4 args x1
func_00000A10,1,4,4 args x1
func_0000153C,1,3,3 args x1
func_000010C4,1,2,2 args x1
func_00001D2C,1,2,2 args x1
func_00001CE4,1,1,1 args x1
func_0000337C,1,1,1 args x1
