name,call_sites,max_args,distribution
func_0000B8DC,112,2,1 args x97; 2 args x15
func_0000FB88,58,8,1 args x47; 3 args x3; 4 args x3
func_0000FCD4,38,6,1 args x26; 2 args x7; 6 args x1
func_0000F30C,31,3,2 args x19; 1 args x10; 3 args x2
func_00016420,24,2,2 args x24
func_00017068,15,3,3 args x15
func_000164C8,14,2,1 args x4; 2 args x1
func_00017304,14,4,3 args x13; 4 args x1
func_0000B9C4,13,2,2 args x13
func_000100F4,11,3,2 args x9; 1 args x1; 3 args x1
func_0000FC44,11,2,1 args x9; 2 args x1
func_0000B1D0,10,2,1 args x9; 2 args x1
func_000065C0,10,8,8 args x10
func_0000667C,10,8,8 args x10
func_000066C8,10,7,7 args x10
func_0000B140,10,1,1 args x10
func_0000FE00,8,1,1 args x6
func_0000694C,8,2,2 args x7
func_0000B3B4,7,3,2 args x5; 3 args x2
func_0000F674,7,2,1 args x4; 2 args x1
func_0000FA7C,7,3,3 args x1; 1 args x1
func_00005F6C,6,2,2 args x6
func_0000B1F8,6,3,1 args x3; 2 args x1; 3 args x1
func_00006754,6,7,7 args x6
func_0000B188,5,2,2 args x5
func_0001141C,5,2,2 args x5
func_000049BC,5,4,4 args x5
func_00010180,5,4,4 args x5
func_00016F88,5,7,7 args x5
func_0000A4D8,5,7,7 args x5
func_000151F8,5,2,2 args x4
func_00016B74,5,5,1 args x3; 4 args x1; 5 args x1
func_0000B030,4,1,1 args x3
func_0000B350,4,1,1 args x4
func_0000A64C,4,2,2 args x3; 1 args x1
func_00006980,4,2,2 args x3; 1 args x1
func_0000815C,4,6,6 args x1
func_000181F0,4,4,4 args x4
func_0001789C,4,6,6 args x4
func_00014010,4,4,4 args x4
func_00016414,3,1,1 args x3
func_000163F4,3,1,1 args x3
func_0000AE0C,3,1,1 args x1
func_00010288,3,1,1 args x1
func_000150DC,3,3,3 args x3
func_00006788,3,1,1 args x3
func_00006ABC,3,8,8 args x3
func_000164A8,3,6,6 args x1
func_0000AF00,3,5,5 args x2; 4 args x1
func_0000AC30,3,2,1 args x2; 2 args x1
func_0001246C,3,4,4 args x3
func_0001381C,3,3,3 args x3
func_00019AA8,3,5,5 args x3
func_0000B0F8,2,1,1 args x2
func_00003BE8,2,1,1 args x2
func_00004CF4,2,2,1 args x1; 2 args x1
func_00005EAC,2,4,4 args x2
func_0000AD60,2,7,7 args x1
func_0000B3F4,2,7,2 args x1; 7 args x1
func_0000686C,2,1,1 args x2
func_00008204,2,2,2 args x2
func_000069A8,2,2,2 args x2
func_0000EE94,2,1,1 args x1
func_00017CBC,2,8,8 args x2
func_0000A434,2,3,2 args x1; 3 args x1
func_0000914C,2,3,3 args x1; 2 args x1
func_00015DB4,2,1,1 args x2
func_0000F77C,2,1,1 args x1
func_0000A62C,2,3,3 args x2
func_00010C98,2,2,2 args x1
func_00010EE0,2,2,2 args x2
func_00019150,2,8,8 args x2
func_00012678,2,4,4 args x2
func_000174E0,2,4,4 args x2
func_0001739C,2,4,4 args x2
func_000176A8,2,6,6 args x2
func_00017464,2,4,4 args x2
