name,call_sites,max_args,distribution
func_0000BBD8,93,3,1 args x14; 2 args x8; 3 args x2
func_0000BDE0,89,4,3 args x88; 4 args x1
func_00011F04,55,3,2 args x48; 3 args x7
func_00002420,44,3,3 args x44
func_00013A70,42,3,2 args x40; 3 args x2
func_00002358,41,1,1 args x1
func_00000E54,37,4,4 args x37
func_00010DA8,36,4,4 args x36
func_00011FD8,34,2,1 args x24; 2 args x2
func_0000B498,30,3,1 args x7; 3 args x2
func_00008B4C,29,2,2 args x29
func_00011D70,22,2,2 args x22
func_00005998,18,3,2 args x16; 3 args x1
func_0000B93C,17,3,1 args x5; 3 args x1
func_00015AE4,17,3,3 args x17
func_00000DF4,16,2,1 args x14; 2 args x1
func_0000690C,15,2,1 args x10; 2 args x2
func_0000B77C,15,1,1 args x11
func_0000BA5C,14,3,1 args x12; 3 args x1; 2 args x1
func_00000F4C,14,1,1 args x13
func_00013B2C,13,3,3 args x13
func_0000BB78,13,3,2 args x8; 3 args x2; 1 args x2
func_00002A3C,13,2,1 args x10; 2 args x1
func_0000B900,13,2,1 args x12; 2 args x1
func_000024C8,13,3,3 args x11; 2 args x2
func_00011D10,12,2,2 args x1
func_00012408,11,4,4 args x3; 2 args x1
func_0000248C,11,2,2 args x11
func_0001439C,11,1,1 args x1
func_00010F58,11,3,2 args x10; 3 args x1
func_00010EFC,11,3,3 args x11
func_00013A38,10,3,2 args x8; 3 args x2
func_00010F8C,10,2,2 args x10
func_00015784,9,3,1 args x8; 3 args x1
func_0000B96C,9,2,1 args x8; 2 args x1
func_000118E0,9,1,1 args x3
func_0000B0D0,9,4,4 args x9
func_00013A08,8,3,3 args x8
func_00002B18,8,1,1 args x5
func_000117CC,8,1,1 args x6
func_0000B138,8,4,4 args x7; 2 args x1
func_0000AA80,8,3,3 args x8
func_00015A38,8,3,3 args x6; 2 args x2
func_000124D0,7,2,2 args x4; 1 args x3
func_0000B4DC,7,2,2 args x1
func_0000AEF4,7,2,2 args x5
func_00013B94,7,2,2 args x7
func_000159CC,7,2,2 args x7
func_0000BD4C,7,3,1 args x2; 3 args x1; 2 args x1
func_00000E04,6,2,2 args x2; 1 args x1
func_0000B488,6,1,1 args x6
func_00012358,6,1,1 args x1
func_00014688,6,5,3 args x4; 4 args x1; 5 args x1
func_0000B1A8,6,2,2 args x6
func_00014124,6,2,2 args x1; 1 args x1
func_000123B4,5,3,1 args x4; 3 args x1
func_00001CE0,5,4,4 args x5
func_00002A88,5,1,1 args x3
func_00000E34,5,2,1 args x3; 2 args x2
func_00006BC8,5,3,2 args x1; 3 args x1
func_0000AE90,5,3,1 args x4; 3 args x1
func_0000335C,5,1,1 args x5
func_00003438,5,2,1 args x4; 2 args x1
func_00011E44,5,1,1 args x3
func_000023EC,5,3,1 args x3; 3 args x2
func_0000B418,5,1,1 args x5
func_0000B2A0,5,1,1 args x5
