name,call_sites,max_args,distribution
func_00003088,7,3,3 args x7
func_00004BE0,7,2,1 args x1; 2 args x1
func_000003EC,6,1,1 args x2
func_00001580,6,6,6 args x6
func_00003E74,6,1,1 args x2
func_00003688,5,5,1 args x3; 4 args x1; 5 args x1
func_00003E6C,5,2,1 args x1; 2 args x1
func_00003054,4,3,3 args x1
func_00004ED4,4,1,1 args x4
func_000067B0,4,2,2 args x4
func_00000410,3,4,1 args x2; 4 args x1
func_00006620,3,4,4 args x3
func_00002EE8,3,1,1 args x3
func_00001C54,3,2,2 args x1; 1 args x1
func_00001704,3,8,8 args x2
func_00005B20,3,3,3 args x1; 2 args x1; 1 args x1
func_00005BA0,3,1,1 args x3
func_00004D78,3,1,1 args x3
func_00004BEC,3,1,1 args x2
func_00005544,3,1,1 args x3
func_000014F8,3,5,5 args x2; 4 args x1
func_00006318,3,1,1 args x2
func_00002310,3,1,1 args x3
func_0000239C,2,4,3 args x1; 4 args x1
func_000009AC,2,1,1 args x2
func_000028B8,2,3,3 args x1
func_00000C5C,2,2,2 args x1; 1 args x1
func_00002EF4,2,3,3 args x1; 2 args x1
func_000012AC,2,6,6 args x2
func_00002F8C,2,1,1 args x1
func_00001E08,2,8,8 args x1
func_00001DE0,2,8,8 args x2
func_00003470,2,2,2 args x1
func_00002EA0,2,5,5 args x2
func_00003390,2,2,2 args x1
func_00005250,2,1,1 args x2
func_00005170,2,1,1 args x2
func_00005324,2,4,4 args x2
func_00004BC8,2,1,1 args x1
func_00005BF8,2,1,1 args x1
func_00005484,2,2,2 args x2
func_00005A74,2,3,3 args x2
func_00005A80,2,3,3 args x2
func_00004E28,2,1,1 args x1
func_00005224,2,2,2 args x2
func_000012A4,2,5,5 args x2
func_000014D8,2,1,1 args x2
func_000022C4,2,5,5 args x2
func_00002680,2,3,1 args x1; 3 args x1
func_00002690,2,1,1 args x1
func_00004714,2,1,1 args x1
func_00001A70,1,5,5 args x1
func_00000608,1,5,5 args x1
func_000005F4,1,4,4 args x1
func_0000640C,1,1,1 args x1
func_00002EBC,1,3,3 args x1
func_00000000,1,3,3 args x1
func_000026AC,1,6,6 args x1
func_00002EC8,1,3,3 args x1
func_00000DB8,1,2,2 args x1
func_00006438,1,4,4 args x1
func_00000B2C,1,1,1 args x1
func_0000198C,1,3,3 args x1
func_000016CC,1,8,8 args x1
func_00002BEC,1,1,1 args x1
func_00000DFC,1,2,2 args x1
func_0000254C,1,3,3 args x1
func_00001B14,1,1,1 args x1
func_00001B20,1,2,2 args x1
func_00001B00,1,2,2 args x1
func_00002254,1,6,6 args x1
func_00002048,1,6,6 args x1
func_00001D20,1,1,1 args x1
func_00001E7C,1,1,1 args x1
func_00002444,1,3,3 args x1
func_000023DC,1,3,3 args x1
func_000030C8,1,3,3 args x1
func_000028A0,1,2,2 args x1
func_00002ED4,1,2,2 args x1
func_0000355C,1,8,8 args x1
func_00002750,1,5,5 args x1
func_00005BA8,1,2,2 args x1
func_00005C00,1,2,2 args x1
func_000061B4,1,1,1 args x1
func_000062B4,1,1,1 args x1
func_00005284,1,2,2 args x1
func_0000554C,1,3,3 args x1
func_00005844,1,3,3 args x1
func_00004EB4,1,3,3 args x1
func_0000585C,1,3,3 args x1
func_00004F58,1,1,1 args x1
func_00005864,1,2,2 args x1
func_00004FC0,1,1,1 args x1
func_00004BB0,1,4,4 args x1
func_00005970,1,2,2 args x1
func_00005444,1,1,1 args x1
func_00005A40,1,2,2 args x1
func_00005A4C,1,2,2 args x1
func_00005A6C,1,2,2 args x1
func_0000522C,1,1,1 args x1
func_000052F0,1,2,2 args x1
func_000051E4,1,2,2 args x1
func_000051EC,1,2,2 args x1
func_0000583C,1,1,1 args x1
func_00005834,1,1,1 args x1
func_0000584C,1,1,1 args x1
func_000054E8,1,2,2 args x1
func_000054F0,1,4,4 args x1
func_0000531C,1,1,1 args x1
func_000013C8,1,1,1 args x1
func_00002358,1,1,1 args x1
func_00005E24,1,1,1 args x1
func_0000238C,1,3,3 args x1
func_00005978,1,2,2 args x1
func_00001B2C,1,1,1 args x1
func_00001B68,1,1,1 args x1
func_00003E80,1,4,4 args x1
func_0000228C,1,1,1 args x1
func_00001C30,1,1,1 args x1
func_00006838,1,2,2 args x1
func_00006818,1,6,6 args x1
func_000067B8,1,6,6 args x1
func_0000684C,1,1,1 args x1
