name,call_sites,max_args,distribution
func_000024B4,12,5,1 args x10; 4 args x1; 5 args x1
func_00000658,2,3,3 args x2
func_000017C0,2,8,8 args x1; 7 args x1
func_00001264,2,8,8 args x2
func_00000454,1,2,2 args x1
func_00000510,1,1,1 args x1
func_00000678,1,5,5 args x1
func_000014E8,1,6,6 args x1
func_00000B9C,1,4,4 args x1
func_00000FD8,1,5,5 args x1
func_00000B8C,1,4,4 args x1
func_00000D74,1,5,5 args x1
func_000017E0,1,3,3 args x1
func_00000D58,1,5,5 args x1
func_00001C5C,1,2,2 args x1
func_00002640,1,4,4 args x1
func_000022B8,1,2,2 args x1
