name,call_sites,max_args,distribution
func_000037E4,27,3,1 args x17; 2 args x5; 3 args x3
func_00000DF0,7,5,5 args x7
func_000038B8,4,3,3 args x1; 2 args x1; 1 args x1
func_00000FD0,4,1,1 args x4
func_000038C4,2,1,1 args x1
func_00000A10,2,1,1 args x2
func_00000CF0,2,2,2 args x1; 1 args x1
func_00001018,2,2,2 args x2
func_00002A38,2,1,1 args x2
func_00001748,2,2,2 args x2
func_00003550,2,2,2 args x2
func_000010A0,1,2,2 args x1
func_00000988,1,3,3 args x1
func_0000364C,1,3,3 args x1
func_0000293C,1,1,1 args x1
func_000029BC,1,1,1 args x1
func_000036D4,1,1,1 args x1
func_000014A0,1,1,1 args x1
func_00002E78,1,1,1 args x1
func_0000371C,1,3,3 args x1
func_000001C4,1,3,3 args x1
func_00001864,1,1,1 args x1
func_0000042C,1,1,1 args x1
func_000004F4,1,2,2 args x1
func_00002EE0,1,1,1 args x1
func_00003014,1,1,1 args x1
func_00003284,1,4,4 args x1
func_000033DC,1,4,4 args x1
func_000038D0,1,3,3 args x1
func_00003804,1,2,2 args x1
func_00003898,1,2,2 args x1
