lib,nid,owner,export_vaddr,call_sites,name
libcardalbum_rel,0x0AB67A89,rel_cardalbum,0x00000000,2,
libcardalbum_rel,0x43AB5667,rel_cardalbum,0x00006BB4,3,
libcardalbum_rel,0xEE554159,rel_cardalbum,0x00006A8C,3,
libcharalist_rel,0x0B63A183,rel_charalist,0x00000074,8,
libcharalist_rel,0x342A4009,rel_charalist,0x00000B20,6,
libcharalist_rel,0x558DBB5F,rel_charalist,0x00000B18,0,
libcharalist_rel,0x6E5EBE0F,rel_charalist,0x000002B0,1,
libcharalist_rel,0x953239E8,rel_charalist,0x00000928,0,
libcharalist_rel,0x99D1857C,rel_charalist,0x00000B74,4,
libcharalist_rel,0xB80F59AD,rel_charalist,0x00005C90,3,
libcharalist_rel,0xBAC2BA34,rel_charalist,0x00000B6C,6,
libcharalist_rel,0xDF67151F,rel_charalist,0x0000099C,0,
libcharalist_rel,0xE11636EC,rel_charalist,0x000006C0,2,
libcharalist_rel,0xFD65B042,rel_charalist,0x000002A8,11,
libconv_machine_rel,0x0BB25540,rel_conv_machine,0x00000810,2,
libconv_machine_rel,0x95EFA5FE,rel_conv_machine,0x00000A10,1,
libconv_machine_rel,0xCD9BCE9B,rel_conv_machine,0x000008EC,2,
libdeck_swap_rel,0x02A2E785,rel_deckswap,0x00000008,2,
libdeck_swap_rel,0x993BD8E1,rel_deckswap,0x0000F6EC,1,
libdeck_swap_rel,0xC5289073,rel_deckswap,0x000001E4,2,
libdeck_tutorial_rel,0x4E16F5A6,rel_decktutorial,0x000035CC,3,
libdeck_tutorial_rel,0x9F1777A8,rel_decktutorial,0x0000378C,3,
libdeck_tutorial_rel,0xE5389F40,rel_decktutorial,0x00000000,3,
libduel_draw_rel,0x02CC067D,rel_duel_draw,0x00050C78,1,
libduel_draw_rel,0x048AF0E1,rel_duel_draw,0x00050018,1,
libduel_draw_rel,0x113CB55B,rel_duel_draw,0x0004FCC8,2,
libduel_draw_rel,0x1170B564,rel_duel_draw,0x00050C1C,2,
libduel_draw_rel,0x12288652,rel_duel_draw,0x0004FDFC,0,
libduel_draw_rel,0x1383CDC3,rel_duel_draw,0x00057218,1,
libduel_draw_rel,0x14AA59D2,rel_duel_draw,0x00050CC4,1,
libduel_draw_rel,0x1A643ACE,rel_duel_draw,0x000502CC,0,
libduel_draw_rel,0x239DFC05,rel_duel_draw,0x0004FEC8,1,
libduel_draw_rel,0x2E8EDDC8,rel_duel_draw,0x00051FF0,1,
libduel_draw_rel,0x33F0EA39,rel_duel_draw,0x0004FF90,0,
libduel_draw_rel,0x34213DF0,rel_duel_draw,0x0004F61C,1,
libduel_draw_rel,0x35284271,rel_duel_draw,0x00050AB0,1,
libduel_draw_rel,0x3D1B9E58,rel_duel_draw,0x0004FCFC,4,
libduel_draw_rel,0x3F71EBA5,rel_duel_draw,0x00050020,1,
libduel_draw_rel,0x4375B43F,rel_duel_draw,0x0004FDB4,1,
libduel_draw_rel,0x48A690B3,rel_duel_draw,0x00050B68,2,
libduel_draw_rel,0x4BD4B5F8,rel_duel_draw,0x0004FC58,0,
libduel_draw_rel,0x4CDAED11,rel_duel_draw,0x000502C4,2,
libduel_draw_rel,0x4E95BACA,rel_duel_draw,0x0004FE40,1,
libduel_draw_rel,0x578325A0,rel_duel_draw,0x000501A8,0,
libduel_draw_rel,0x58401601,rel_duel_draw,0x0004FD5C,1,
libduel_draw_rel,0x58B08C31,rel_duel_draw,0x00050C4C,1,
libduel_draw_rel,0x5B3E39E9,rel_duel_draw,0x0004FCC0,2,
libduel_draw_rel,0x5C51B1D0,rel_duel_draw,0x0004FC94,2,
