lib,nid,name,verified
IoFileMgrForUser,0x109F50BC,sceIoOpen,yes
IoFileMgrForUser,0x27EB27B8,sceIoLseek,yes
IoFileMgrForUser,0x6A638D83,sceIoRead,yes
IoFileMgrForUser,0x810C4BC3,sceIoClose,yes
ThreadManForUser,0xE81CAF8F,sceKernelCreateCallback,yes
ThreadManForUser,0xEA748E31,sceKernelChangeCurrentThreadAttr,yes
ThreadManForUser,0xEDBA5844,sceKernelDeleteCallback,yes
sceHttp,0x76D1363B,sceHttpSaveSystemCookie,yes
sceHttp,0x87797BDD,sceHttpsLoadDefaultCert,yes
sceHttp,0xAB1ABE07,sceHttpInit,yes
sceHttp,0xD1C8945E,sceHttpEnd,yes
sceHttp,0xE4D21302,sceHttpsInit,yes
sceHttp,0xF1657B22,sceHttpLoadSystemCookie,yes
sceHttp,0xF9D8EB63,sceHttpsEnd,yes
sceImpose,0x72189C48,sceImposeSetUMDPopup,yes
sceJpeg,0x48B602B7,sceJpegDeleteMJpeg,yes
sceJpeg,0x67F0ED84,sceJpegCsc,yes
sceJpeg,0x7D2F3D7F,sceJpegFinishMJpeg,yes
sceJpeg,0x8F2BB012,sceJpegGetOutputInfo,yes
sceJpeg,0x91EED83C,sceJpegDecodeMJpegYCbCr,yes
sceJpeg,0x9D47469C,sceJpegCreateMJpeg,yes
sceJpeg,0xAC9E70E6,sceJpegInitMJpeg,yes
sceNet,0x281928A9,sceNetTerm,yes
sceNet,0x39AF39A6,sceNetInit,yes
sceNetApctl,0xB3EDD0EC,sceNetApctlTerm,yes
sceNetApctl,0xE2F91F9B,sceNetApctlInit,yes
sceNetInet,0x17943399,sceNetInetInit,yes
sceNetInet,0xA9ED66B9,sceNetInetTerm,yes
sceNetResolver,0x6138194A,sceNetResolverTerm,yes
sceNetResolver,0xF3370E61,sceNetResolverInit,yes
sceRtc,0xE7C27D1B,sceRtcGetCurrentClockLocalTime,yes
sceSsl,0x191CDEFF,sceSslEnd,yes
sceSsl,0x957ECBE2,sceSslInit,yes
sceUmdUser,0x340B7686,sceUmdGetDiscInfo,yes
sceUmdUser,0x46EBB729,sceUmdCheckMedium,yes
sceUmdUser,0x6B4A146C,sceUmdGetDriveStat,yes
sceUmdUser,0x87533940,sceUmdReplaceProhibit,yes
sceUmdUser,0xAEE7404D,sceUmdRegisterUMDCallBack,yes
sceUmdUser,0xBD2BDE07,sceUmdUnRegisterUMDCallBack,yes
sceUmdUser,0xC6183D47,sceUmdActivate,yes
sceUmdUser,0xCBE9F02A,sceUmdReplacePermit,yes
sceUtility,0x05AFB9E4,sceUtilityHtmlViewerUpdate,yes
sceUtility,0x2A2B3DE0,sceUtilityLoadModule,yes
sceUtility,0xBDA7D894,sceUtilityHtmlViewerGetStatus,yes
sceUtility,0xCDC3AA41,sceUtilityHtmlViewerInitStart,yes
sceUtility,0xE49BFE92,sceUtilityUnloadModule,yes
sceUtility,0xF5CE1134,sceUtilityHtmlViewerShutdownStart,yes
